,,+,<^>!,<^>!+
a,ا,أ,ا,ا
b,ب,ب,ٮ,ٮ
c,خ,خ,ح,ح
d,د,ض,د,ص
e,ع,ء,ع,
f,ف,ف,ڡ,ڡ
g,غ,غ,ع,ع
h,ه,ح,ه,ح
i,ي,ئ,ى,ى
j,ج,ج,ح,ح
k,ك,ك,ک,ک
l,ل,ل,ل,ل
m,م,م,م,م
n,ن,ن,ں,ں
o,آ,\u06e4,ا,
p,ش,ش,س,س
q,ق,ق,ٯ,ٯ
r,ر,ر,ر,ر
s,س,ص,س,ص
t,ت,ط,ٮ,ط
u,و,ؤ,و,و
v,ذ,ظ,د,ط
w,أ,\u0654,ا,
x,ث,ث,ٮ,ٮ
y,إ,\u0655,ا,
z,ز,ظ,ر,ط
;,ة,ى,ه,ى
-,ـ,ـ,ـ,ـ
1,{U+064e},\u064b,,
2,\u0650,\u064d,,
3,\u064f,\u064c,,
4,\u0652,\u06e1,,
5,\u0651,\u0651,,
6,\u06df,\u06df,,
7,\u0670,\u0670,,
8,\u06e7,\u06e6,,
9,\u06e5,\u06e5,,
0,ٱ,ٱ,ا,ا
",","،",,؛,
/,,؟,,
