,>{U+0311},COMMENT
A,Ȃ,
a,ȃ,
E,Ȇ,
e,ȇ,
i,ȋ,
I,Ȋ,
O,Ȏ,
o,ȏ,
U,Ȗ,
u,ȗ,
R,Ȓ,
r,ȓ,
ı,i̇̑,i + Dot Above + Inverted Breve
